COVID-19 Vaccinations in the United States
Date generated: Sun May 23 2021 12:45:13 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,802575,109710,145509,598449,81806,578877,104952,328869,45,315744,57.2,281611,38.5,275088,49.9,396435,348140,58000,0,18823,263764,315771,91,121154,142913,17517,27,120859,136761,17441,27,264094,45,315744,57.2,36.1,257647,46.7,328869,72839,79.5,68128,74.4,38841,27309,1963,15,137236,149841,876288,328426,53.9,281605,46.2,121152,142911,17515,27,598009,98215,131812
Alabama,4476640,91301,117347,2962661,60423,2936280,76969,1736645,35.4,1718110,45,1396990,28.5,1388618,36.4,2197260,2008280,271100,0,94791,1424215,1443655,0,633257,666915,96736,82,633084,658758,96694,82,1300254,35.4,1718110,45,26.5,1291924,33.9,1736645,642226,75.6,548424,64.5,290647,229833,27894,50,1141206,134285,526765,1736359,41.5,1396976,33.4,633251,666909,96734,82,2962374,70754,106921
Arkansas,2741670,90850,118295,2015842,66798,1979558,85412,1161133,38.5,1135322,49,907318,30.1,896498,38.7,1349010,1217160,175500,0,63700,952772,998857,513,419570,425401,62221,126,418979,415479,61917,123,845097,38.5,1135322,49,28,834581,36,1161133,394720,75.3,327618,62.5,189761,127732,10039,86,714631,136411,523337,1159283,45.3,907172,35.5,419566,425366,62114,126,2013932,78754,107212
American Samoa,54030,97021,124387,41907,75252,40401,93011,23160,41.6,22289,51.3,18900,33.9,18269,42.1,37830,15600,600,0,26,9959,31922,0,4292,14575,33,0,4280,13956,33,0,18867,41.6,22289,51.3,33.9,18236,42,23160,2531,26.7,2274,24,907,1360,7,0,4717,49826,570719,23159,48.7,18899,39.7,4291,14575,33,0,41905,88115,113611
Arizona,7678675,105495,136183,5764271,79194,5634063,99922,3264181,44.8,3174617,56.3,2522197,34.7,2485384,44.1,4074135,3189940,414600,0,178616,2530858,3050719,4078,1053434,1295528,171905,1330,1053201,1259057,171799,1327,2350292,44.8,3174617,56.3,32.3,2313585,41,3264181,1068280,81.6,889852,68,438131,418319,32581,821,2005908,153283,586771,3263867,52.6,2522127,40.6,1053421,1295505,171871,1330,5763866,92875,123729
Bureau of Prisons,184060,N/A,N/A,176502,N/A,176501,N/A,98316,N/A,98315,N/A,82812,N/A,82812,N/A,100620,73340,10100,0,5456,70685,100361,0,30783,46597,5432,0,30783,46597,5432,0,77380,N/A,98315,N/A,0,77380,0,98316,3217,0,2892,0,1399,1421,72,0,6073,0,0,98315,0,82812,0,30783,46597,5432,0,176501,0,0
California,46220830,116979,150962,36714358,92919,35592297,116248,21686713,54.9,20876381,68.2,16098049,40.7,15782216,51.5,24688950,18958180,2573700,0,1282460,15581522,19845751,4625,6523376,8301543,1271902,1228,6509542,8004553,1266920,1201,14826147,54.9,20876381,68.2,37.5,14515296,47.4,21686713,5253121,90,4135244,70.8,2134986,1866265,133463,530,9334817,159894,791708,21660550,64.4,16097120,47.8,6523010,8301230,1271653,1227,36687454,109039,137373
Colorado,6621280,114978,147165,5387598,93555,5226024,116154,3011347,52.3,2896935,64.4,2487412,43.2,2440005,54.2,3548220,2746460,326600,0,179755,2353614,2852792,1437,1053913,1255678,177406,415,1051650,1211277,176668,410,2310006,52.3,2896935,64.4,40.1,2263337,50.3,3011347,718361,85.3,641701,76.2,320511,304753,16258,179,1367577,162341,785991,3007596,60.9,2487371,50.4,1053903,1255664,177389,415,5383802,109071,134141
Connecticut,4418395,123928,155695,3872950,108629,3746344,132014,2181139,61.2,2090835,73.7,1814854,50.9,1781140,62.8,2380755,1792940,244700,0,147757,1544169,2180711,313,695731,971196,147853,74,695407,937936,147727,70,1667001,61.2,2090835,73.7,46.8,1633413,57.6,2181139,584308,92.7,536256,85.1,210620,310442,15170,24,1118272,177435,701061,2180017,70.2,1814467,58.4,695535,971072,147786,74,3871463,124647,142256
District of Columbia,1008855,142948,174669,754427,106897,747931,129494,390523,55.3,384398,66.6,306573,43.4,304884,52.8,553995,401560,53300,0,23859,298844,431550,174,116489,162344,27596,144,116460,160704,27578,142,278977,55.3,384398,66.6,39.5,277306,48,390523,71256,81.6,61428,70.3,35230,24312,1870,16,160477,183732,1155050,390470,64,306559,50.3,116485,162336,27594,144,754366,123716,165453
