Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sun May 23 2021 12:46:33 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-13,US,12857,11333,1355,12857,11333,1355,11333,12857,1355,null,null,1462,11333,1462,1462
Report,2020-12-13,US,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null
Admin,2020-12-13,LTC,229,229,0,229,229,0,229,229,0,null,null,0,229,0,0
Admin,2020-12-14,US,3844,3716,5,16701,15049,1360,7525,8350,680,null,null,30,15049,1492,746
Report,2020-12-14,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,49544,46073,27,66245,61122,1387,20374,22081,462,null,null,60,61122,1552,517
Report,2020-12-15,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,160086,153142,208,226331,214264,1595,53566,56582,399,null,null,241,214264,1793,448
Report,2020-12-16,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,273202,261984,515,499533,476248,2110,95250,99906,422,null,null,543,476248,2336,467
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,415979,403846,660,915512,880094,2770,146682,152585,462,null,null,670,880094,3006,501
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,181247,176343,781,1096759,1056437,3551,150920,156679,507,null,null,783,1056437,3789,541
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
